orderbook_timestamp,book,bid,ask,spread
2024-07-15T08:24:01+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:03+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:03+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:02+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:04+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:04+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:05+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:05+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:06+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:06+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:07+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:07+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:08+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:08+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:10+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:10+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:11+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:11+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:12+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:12+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:13+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:13+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:14+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:14+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:15+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:15+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:17+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:17+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:18+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:18+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:19+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:19+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:20+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:20+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:21+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:21+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:22+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:22+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:23+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:23+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:25+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:24+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:25+00:00,usd_mxn,17.6,17.61,0.05678591709254975
